name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Firdaus Agil Prasetyo,5.0,"Dari luar tampak seperti rumah hantu. Tapi lihatlah ketika anda masuk sini. Semuanya begitu sempurna, tempatnya bagus, ruangannya bagus full AC dimana mana. Perpusnya juga bagus. Dosennya juga ramah ramah komunikatif juga. Pokoknya anda ga bakalan nyesel kalo kuliah disini. Pembelajaran juga interaktif. Dosennya muda muda semua under 35th.",rumah hantu lihatlah masuk sempurna tempatnya bagus ruangannya bagus full ac dimana perpusnya bagus dosennya ramah ramah komunikatif pokoknya ga nyesel kuliah pembelajaran interaktif dosennya muda muda under 35th,rumah hantu lihat masuk sempurna tempat bagus ruang bagus full ac mana pus bagus dosen ramah ramah komunikatif pokok ga nyesel kuliah ajar interaktif dosen muda muda under 35th,"['rumah', 'hantu', 'lihat', 'masuk', 'sempurna', 'tempat', 'bagus', 'ruang', 'bagus', 'full', 'ac', 'mana', 'pus', 'bagus', 'dosen', 'ramah', 'ramah', 'komunikatif', 'pokok', 'ga', 'nyesel', 'kuliah', 'ajar', 'interaktif', 'dosen', 'muda', 'muda', 'under', '35th']","['rumah', 'hantu', 'lihat', 'masuk', 'sempurna', 'tempat', 'bagus', 'ruang', 'bagus', 'full', 'ac', 'mana', 'pus', 'bagus', 'dosen', 'ramah', 'ramah', 'komunikatif', 'pokok', 'ga', 'nyesel', 'kuliah', 'ajar', 'interaktif', 'dosen', 'muda', 'muda', 'under', '35th']"
Miftah NG,5.0,"Unik. Kampus ""heritage"" pertama yang pernah saya datangi. Area bekas pabrik Semen Gresik yang dipindah ke Tuban. Para mahasiswa & staf ramahÂ². Perpustakaan & fasilitas lainnya mantap. Adem kalau sudah masuk ke gedungnya.
Harus mampir kesini. Instagramable. (Sept. 2019)",unik kampus heritage datangi area bekas pabrik semen gresik dipindah tuban mahasiswa staf ramah perpustakaan fasilitas mantap adem masuk gedungnya mampir kesini instagramable sept 2019,unik kampus heritage datang area bekas pabrik semen gresik pindah tuban mahasiswa staf ramah pustaka fasilitas mantap adem masuk gedung mampir kesini instagramable sept 2019,"['unik', 'kampus', 'heritage', 'datang', 'area', 'bekas', 'pabrik', 'semen', 'gresik', 'pindah', 'tuban', 'mahasiswa', 'staf', 'ramah', 'pustaka', 'fasilitas', 'mantap', 'adem', 'masuk', 'gedung', 'mampir', 'kesini', 'instagramable', 'sept', '2019']","['unik', 'kampus', 'heritage', 'datang', 'area', 'bekas', 'pabrik', 'semen', 'gresik', 'pindah', 'tuban', 'mahasiswa', 'staf', 'ramah', 'pustaka', 'fasilitas', 'mantap', 'adem', 'masuk', 'gedung', 'mampir', 'kesini', 'instagramable', 'sept', '2019']"
Hafiz Nafi'uddin,3.0,"Universitasnya sangat bagus, tapi lebih diperhatikan untuk yang dikampus 2, jalannya agak licin dan berpasir jadi ditikungan mudah jatuh, ğŸ™
Terima Kasih untuk dosenÂ² dan Mahasiswa yang sangat membantu dan sangat baik sudah mau membantu seluruh proses belajar sampai selesai, ğŸ™",universitasnya bagus diperhatikan dikampus 2 jalannya licin berpasir ditikungan mudah jatuh terima kasih dosen mahasiswa membantu membantu proses belajar selesai ,universitas bagus perhati kampus 2 jalan licin pasir tikung mudah jatuh terima kasih dosen mahasiswa bantu bantu proses ajar selesai,"['universitas', 'bagus', 'perhati', 'kampus', '2', 'jalan', 'licin', 'pasir', 'tikung', 'mudah', 'jatuh', 'terima', 'kasih', 'dosen', 'mahasiswa', 'bantu', 'bantu', 'proses', 'ajar', 'selesai']","['universitas', 'bagus', 'perhati', 'kampus', '2', 'jalan', 'licin', 'pasir', 'tikung', 'mudah', 'jatuh', 'terima', 'kasih', 'dosen', 'mahasiswa', 'bantu', 'bantu', 'proses', 'ajar', 'selesai']"
Chandra Bintang,1.0,"Hati-hati dengan dosen gadungan yang bernama ""OKTAVIAN ZULFIKY"" yang mengaku bekerja di UISI dan terbukti telah memalsukan gelar S2 nya.",hatihati dosen gadungan bernama oktavian zulfiky mengaku uisi terbukti memalsukan gelar s2,hatihati dosen gadungan nama oktavian zulfiky aku uis bukti palsu gelar s2,"['hatihati', 'dosen', 'gadungan', 'nama', 'oktavian', 'zulfiky', 'aku', 'uis', 'bukti', 'palsu', 'gelar', 's2']","['hatihati', 'dosen', 'gadungan', 'nama', 'oktavian', 'zulfiky', 'aku', 'uis', 'bukti', 'palsu', 'gelar', 's2']"
Wandy Bear,3.0,"Sementara 3 bintang dulu ya min.
Min, calon mahasiswa/mahasiswi yang buka dari keluarga karyawan dan bukan lulusan dr sekolah mitra, Apakah bisa untuk daftar/masuk di UISI?",3 bintang ya min min calon mahasiswamahasiswi buka keluarga karyawan lulusan sekolah mitra daftarmasuk uisi,3 bintang ya min min calon mahasiswamahasiswi buka keluarga karyawan lulus sekolah mitra daftarmasuk uis,"['3', 'bintang', 'ya', 'min', 'min', 'calon', 'mahasiswamahasiswi', 'buka', 'keluarga', 'karyawan', 'lulus', 'sekolah', 'mitra', 'daftarmasuk', 'uis']","['3', 'bintang', 'ya', 'min', 'min', 'calon', 'mahasiswamahasiswi', 'buka', 'keluarga', 'karyawan', 'lulus', 'sekolah', 'mitra', 'daftarmasuk', 'uis']"
Fajar Rifat,2.0,"Jalan masuk untuk motor ke kampus B paving nya banyak yg rusak ngak rata min, mending di jadikan 1 saja jalan masuk untuk motor dan mobil",jalan masuk motor kampus b paving rusak ngak min mending jadikan 1 jalan masuk motor mobil,jalan masuk motor kampus b paving rusak ngak min mending jadi 1 jalan masuk motor mobil,"['jalan', 'masuk', 'motor', 'kampus', 'b', 'paving', 'rusak', 'ngak', 'min', 'mending', 'jadi', '1', 'jalan', 'masuk', 'motor', 'mobil']","['jalan', 'masuk', 'motor', 'kampus', 'b', 'paving', 'rusak', 'ngak', 'min', 'mending', 'jadi', '1', 'jalan', 'masuk', 'motor', 'mobil']"
Justin Hubner,1.0,"Dapat Orderan Go Ride Atas Nama ""Amelia S"" pada hari selasa 29 November 2022 pukul 14:56 katanya sudah menunggu di pos satpam ternyata masih jam kelas dan saya sudah nunggu hampir 1 jam di pos satpam orderan malah di cancel. Sudah di bantu beberapa mahasiswa dan mahasiswi yg lain untuk di carikan di WA temen"" prodinya tp tidak ada mungkin kebetulan bukan rekan prodinya.",orderan go ride nama amelia s selasa 29 november 2022 1456 menunggu pos satpam jam kelas nunggu 1 jam pos satpam orderan cancel bantu mahasiswa mahasiswi carikan wa temen prodinya rekan prodinya,order go ride nama amelia s selasa 29 november 2022 1456 tunggu pos satpam jam kelas nunggu 1 jam pos satpam order cancel bantu mahasiswa mahasiswi cari wa temen prodinya rekan prodinya,"['order', 'go', 'ride', 'nama', 'amelia', 's', 'selasa', '29', 'november', '2022', '1456', 'tunggu', 'pos', 'satpam', 'jam', 'kelas', 'nunggu', '1', 'jam', 'pos', 'satpam', 'order', 'cancel', 'bantu', 'mahasiswa', 'mahasiswi', 'cari', 'wa', 'temen', 'prodinya', 'rekan', 'prodinya']","['order', 'go', 'ride', 'nama', 'amelia', 's', 'selasa', '29', 'november', '2022', '1456', 'tunggu', 'pos', 'satpam', 'jam', 'kelas', 'nunggu', '1', 'jam', 'pos', 'satpam', 'order', 'cancel', 'bantu', 'mahasiswa', 'mahasiswi', 'cari', 'wa', 'temen', 'prodinya', 'rekan', 'prodinya']"
MiawLegenD_,1.0,"Kekurangan yang ada :
1. Parkiran
Ga ada parkirannya, ga ada atapnya jadi bikin ban motor sering kempes, kalo hujan helmnya jadi basah, ga ngerti lagi sama parkirannya...
2. Tangga
Akses menuju gedung 4 tangganya sangat curam dan tidak aman apalagi waktu setelah hujan licin tolong diperbaikin
3. AC
Ac dibeberapa kelas terutama di gedung 3 banyak yg tidak berfungsi dengan baik, ac nya sangat berisik dan menganggu kelas, tidak bisa diatur suhu nya kadang sangat dingin tidak bisa diturunkan suhu nya jadi menganggu kelas, jika tidak pakai AC sangat panas apalagi ini gresik. Akses menuju gedung 3,4,5 kampus A tidak ada parkiran jadi harus parkir di depan dekat kantin maka membutuhkan energi ekstra untuk menuju kelas sampai dikelas malah AC nya bermasalahğŸ˜Š
4. Kantin dan mushollah
Untuk kampus A lagi, untuk kantin nya bagi petugas kebersihan kampus harap dibersihkan karena menurut saya cukup kotor bagi tempat makan dan istirahat,
Kantinya di siang hari sangat panas mungkin karena atapnya yang besi, Kemudian untuk musholla, mungkin bisa direnovasi agar lebih bisa disebut mushollah karena ini tempat ibadah. Lalu pada meja kantin terdapat beberapa stopkontak yang tidak berfungsi dan besinya sudah berkarat dan mushala tempat wudhu perempuan kalau sudah maghrib tidak ada lampunya sehingga gelap dan terpaksa menggunakan flash HP.

Sangat tolong UKT tidak murah dan saya berharap mendapatkan fasilitas yang layak seperti kampus yang lain â˜ºï¸

Edit ulasan : GA ADA SAMA SEKALII PERUBAHAN!! CUMAN DIKASIH LAMPU DOANG DIMUSHOLA ! PLIS LAH PARKIRAN, GA ADA PARKIRANNYA.",kekurangan 1 parkiran ga parkirannya ga atapnya bikin ban motor kempes hujan helmnya basah ga ngerti parkirannya 2 tangga akses gedung 4 tangganya curam aman hujan licin tolong diperbaikin 3 ac ac dibeberapa kelas gedung 3 berfungsi ac berisik menganggu kelas diatur suhu kadang dingin diturunkan suhu menganggu kelas pakai ac panas gresik akses gedung 345 kampus a parkiran parkir kantin membutuhkan energi ekstra kelas dikelas ac bermasalah 4 kantin mushollah kampus a kantin petugas kebersihan kampus harap dibersihkan kotor makan istirahat kantinya siang panas atapnya besi musholla direnovasi mushollah ibadah meja kantin stopkontak berfungsi besinya berkarat mushala wudhu perempuan maghrib lampunya gelap terpaksa flash hp tolong ukt murah berharap fasilitas layak kampus edit ulasan ga sekalii perubahan cuman dikasih lampu doang dimushola plis parkiran ga parkirannya,kurang 1 parkir ga parkir ga atap bikin ban motor kempes hujan helm basah ga ngerti parkir 2 tangga akses gedung 4 tangga curam aman hujan licin tolong diperbaikin 3 ac ac beberapa kelas gedung 3 fungsi ac berisik menganggu kelas atur suhu kadang dingin turun suhu menganggu kelas pakai ac panas gresik akses gedung 345 kampus a parkir parkir kantin butuh energi ekstra kelas kelas ac masalah 4 kantin mushollah kampus a kantin tugas bersih kampus harap bersih kotor makan istirahat kanti siang panas atap besi musholla renovasi mushollah ibadah meja kantin stopkontak fungsi besi karat mushala wudhu perempuan maghrib lampu gelap paksa flash hp tolong ukt murah harap fasilitas layak kampus edit ulas ga sekali ubah cuman kasih lampu doang dimushola plis parkir ga parkir,"['kurang', '1', 'parkir', 'ga', 'parkir', 'ga', 'atap', 'bikin', 'ban', 'motor', 'kempes', 'hujan', 'helm', 'basah', 'ga', 'ngerti', 'parkir', '2', 'tangga', 'akses', 'gedung', '4', 'tangga', 'curam', 'aman', 'hujan', 'licin', 'tolong', 'diperbaikin', '3', 'ac', 'ac', 'beberapa', 'kelas', 'gedung', '3', 'fungsi', 'ac', 'berisik', 'menganggu', 'kelas', 'atur', 'suhu', 'kadang', 'dingin', 'turun', 'suhu', 'menganggu', 'kelas', 'pakai', 'ac', 'panas', 'gresik', 'akses', 'gedung', '345', 'kampus', 'a', 'parkir', 'parkir', 'kantin', 'butuh', 'energi', 'ekstra', 'kelas', 'kelas', 'ac', 'masalah', '4', 'kantin', 'mushollah', 'kampus', 'a', 'kantin', 'tugas', 'bersih', 'kampus', 'harap', 'bersih', 'kotor', 'makan', 'istirahat', 'kanti', 'siang', 'panas', 'atap', 'besi', 'musholla', 'renovasi', 'mushollah', 'ibadah', 'meja', 'kantin', 'stopkontak', 'fungsi', 'besi', 'karat', 'mushala', 'wudhu', 'perempuan', 'maghrib', 'lampu', 'gelap', 'paksa', 'flash', 'hp', 'tolong', 'ukt', 'murah', 'harap', 'fasilitas', 'layak', 'kampus', 'edit', 'ulas', 'ga', 'sekali', 'ubah', 'cuman', 'kasih', 'lampu', 'doang', 'dimushola', 'plis', 'parkir', 'ga', 'parkir']","['kurang', '1', 'parkir', 'ga', 'parkir', 'ga', 'atap', 'bikin', 'ban', 'motor', 'kempes', 'hujan', 'helm', 'basah', 'ga', 'ngerti', 'parkir', '2', 'tangga', 'akses', 'gedung', '4', 'tangga', 'curam', 'aman', 'hujan', 'licin', 'tolong', 'diperbaikin', '3', 'ac', 'ac', 'beberapa', 'kelas', 'gedung', '3', 'fungsi', 'ac', 'berisik', 'menganggu', 'kelas', 'atur', 'suhu', 'kadang', 'dingin', 'turun', 'suhu', 'menganggu', 'kelas', 'pakai', 'ac', 'panas', 'gresik', 'akses', 'gedung', '345', 'kampus', 'a', 'parkir', 'parkir', 'kantin', 'butuh', 'energi', 'ekstra', 'kelas', 'kelas', 'ac', 'masalah', '4', 'kantin', 'mushollah', 'kampus', 'a', 'kantin', 'tugas', 'bersih', 'kampus', 'harap', 'bersih', 'kotor', 'makan', 'istirahat', 'kanti', 'siang', 'panas', 'atap', 'besi', 'musholla', 'renovasi', 'mushollah', 'ibadah', 'meja', 'kantin', 'stopkontak', 'fungsi', 'besi', 'karat', 'mushala', 'wudhu', 'perempuan', 'maghrib', 'lampu', 'gelap', 'paksa', 'flash', 'hp', 'tolong', 'ukt', 'murah', 'harap', 'fasilitas', 'layak', 'kampus', 'edit', 'ulas', 'ga', 'sekali', 'ubah', 'cuman', 'kasih', 'lampu', 'doang', 'dimushola', 'plis', 'parkir', 'ga', 'parkir']"
thandmustedi Pur,1.0,"1. Syarat pendaftaran kurang terperinci dan sistematis
2. Kurikulum perlu diinformasikan dg suatu harapan calon mahasiswa yg ingin mendaftar tahu, apa yg akan diberikan pihak kampus terhadap mahasiswa. (Mahasiswa mau didesaian menjadi lulusan seperti apa)
3. Karena ujungnya kuliah setelah lulus itu kerja, maka  jaminan apa yg bisa diberikan kampus terhadap kelulusannya. (Kl hanya sekedar meluluskan tanpa memberikan solusi/peluang kerja, tdk ada bedanya dg kebanyakan kampus yg hanya meluluskan pada akhirnya masih dipusingkan dg mencari kerja...)
4. Keunggulan-keunggulan apa yg bisa diberikan kampus terhadap mahasiswanya?
5. Maaf, bisa belajar dr PT lain bagaimana cara menginformasikan lebih lugas.
Sebenarnya masih banyak yg ingin saya sampaikan tapi untuk sementara cukup 5 hal itu, yg saya anggap masih perlu ditingkatkan.
Demikian yg bisa saya informasikan, mudah-mudah dapat dijadikan masukan.
